,iteration,visit,item_id,visitor_id,reward,total_reward,fraction_relevant
0,0,0,059400232X,AZQZ3STMCBG5H,1,1,1.0
1,0,1,0972683275,AGG3RTQFN3OJ4,1,2,1.0
2,0,2,0972683275,A3C51ESBUD8QAJ,0,2,0.6666666666666666
3,0,3,0972683275,A1BKC6B7YHYTVV,0,2,0.5
4,0,4,0594482127,AWL0JAXP3LQWJ,0,2,0.4
5,0,5,0594296420,A1RKH6803HVOQL,1,3,0.5
6,0,6,0528881469,A2AEHUKOV014BP,1,4,0.5714285714285714
7,0,7,0594511488,A32JHAQPVSGHUD,1,5,0.625
8,0,8,0528881469,A2CPBQ5W4OGBX,0,5,0.5555555555555556
9,0,9,0439886341,A2NWSAGRHCP8N5,0,5,0.5
10,0,10,0594287995,A34TPQUVSQXXPX,1,6,0.5454545454545454
11,0,11,0594481902,A1G5M9B068B6N4,1,7,0.5833333333333334
12,0,12,0594481813,A3HGP1YI7G80HA,1,8,0.6153846153846154
13,0,13,0594481813,AEFUHKIXACWJW,1,9,0.6428571428571429
14,0,14,0594481813,A22055Y81HHDQ9,0,9,0.6
15,0,15,0511189877,A1QGNMC6O1VW39,1,10,0.625
16,0,16,0594033926,A2CP4GY6XAWIII,1,11,0.6470588235294118
17,0,17,0594511488,A32JHAQPVSGHUD,1,12,0.6666666666666666
18,0,18,0594033926,A3HQ8RXUMJ2Y58,1,13,0.6842105263157895
19,0,19,0594451647,AEZ3CR6BKIROJ,0,13,0.65
20,0,20,0594033934,A1UMFN4RKU451R,1,14,0.6666666666666666
21,0,21,0594033926,A2PL24SVISXZM9,1,15,0.6818181818181818
22,0,22,0132793040,AKM1MP6P0OYPR,1,16,0.6956521739130435
23,0,23,0594450209,AWA0CM7TY98QX,1,17,0.7083333333333334
24,0,24,0594202442,A1NQNJ3EAZ6CMZ,0,17,0.68
25,0,25,0970407998,A233AWZLS4LDYO,1,18,0.6923076923076923
26,0,26,0594511488,A32JHAQPVSGHUD,1,19,0.7037037037037037
27,0,27,0594450209,AWA0CM7TY98QX,1,20,0.7142857142857143
28,0,28,0594481813,A1RGYV1ASMTMSE,0,20,0.6896551724137931
29,0,29,0594033896,AKZOMZCNU41GZ,0,20,0.6666666666666666
30,0,30,0594033926,A3HQ8RXUMJ2Y58,1,21,0.6774193548387096
31,0,31,0594481902,A1G5M9B068B6N4,1,22,0.6875
32,0,32,0594450209,A244IAP7UBVHH6,1,23,0.696969696969697
33,0,33,0594033926,A2PL24SVISXZM9,1,24,0.7058823529411765
34,0,34,0594033926,AHYURLVH267MA,1,25,0.7142857142857143
35,0,35,0899336795,ACVACAN9F8XKR,0,25,0.6944444444444444
36,0,36,0594481902,ANFUGJ8Z9EMQS,1,26,0.7027027027027027
37,0,37,0594033926,A2TKKYL3GKFS2M,1,27,0.7105263157894737
38,0,38,0594481902,A2KK9GUTOXMB43,1,28,0.717948717948718
39,0,39,059400232X,A22FB2WSZSXSHH,1,29,0.725
40,0,40,0972683275,A1YFZQQLQ3QZHK,0,29,0.7073170731707317
41,0,41,0594033926,A253JJFXQNPCOJ,0,29,0.6904761904761905
42,0,42,0594287995,A34TPQUVSQXXPX,1,30,0.6976744186046512
43,0,43,0594481902,AAWFWZ2K9WTV1,1,31,0.7045454545454546
44,0,44,0594012015,A2EGPA22UHMQXL,0,31,0.6888888888888889
45,0,45,059400232X,AZQZ3STMCBG5H,1,32,0.6956521739130435
46,0,46,0594481902,A2N3PEHL6QY8U8,1,33,0.7021276595744681
47,0,47,0594296420,A2B4F6LP0ZLI8E,0,33,0.6875
48,0,48,0970407998,A17HMM1M7T9PJ1,0,33,0.673469387755102
49,0,49,0594481902,A2KK9GUTOXMB43,1,34,0.68
50,0,50,0743610431,A3IL8P9RPBUW2X,0,34,0.6666666666666666
51,0,51,0594481902,A2KK9GUTOXMB43,1,35,0.6730769230769231
52,0,52,0594481902,A399VAWM09IRH9,1,36,0.6792452830188679
53,0,53,0594481902,AMP3SRCVG8VED,1,37,0.6851851851851852
54,0,54,0594481902,A1GI134K2EVPEM,1,38,0.6909090909090909
55,0,55,0594450209,A244IAP7UBVHH6,1,39,0.6964285714285714
56,0,56,0321732944,A2CX7LUOHB2NDG,1,40,0.7017543859649122
57,0,57,0558835155,A1NQPG5IJ43HJI,0,40,0.6896551724137931
58,0,58,0594481902,A2J3WVIQ5LO1O7,0,40,0.6779661016949152
59,0,59,0594511488,A29FNXHYVA2W4G,1,41,0.6833333333333333
60,0,60,0594033926,A3F069UFW04K1E,1,42,0.6885245901639344
61,0,61,0594481902,A1IIGG5OMZKNYP,0,42,0.6774193548387096
62,0,62,0594033926,A3F069UFW04K1E,1,43,0.6825396825396826
63,0,63,0594033926,A24RBL3W5W6SAN,1,44,0.6875
64,0,64,0511189877,AZYNQZ94U6VDB,1,45,0.6923076923076923
65,0,65,0594450209,AWA0CM7TY98QX,1,46,0.696969696969697
66,0,66,0594481902,AMP3SRCVG8VED,1,47,0.7014925373134329
67,0,67,0594450209,AWA0CM7TY98QX,1,48,0.7058823529411765
68,0,68,0511189877,A3J3BRHTDRFJ2G,0,48,0.6956521739130435
69,0,69,0594033934,A3T3XKC7H5ACI1,1,49,0.7
70,0,70,0528881469,AMLFNXUIEMN4T,0,49,0.6901408450704225
71,0,71,0594033926,A3HGTTFIDLCWDJ,0,49,0.6805555555555556
72,0,72,0594450209,A244IAP7UBVHH6,1,50,0.684931506849315
73,0,73,0594033934,A1UMFN4RKU451R,1,51,0.6891891891891891
74,0,74,0594514681,AUMPN10O0S5WE,0,51,0.68
75,0,75,059400232X,A2WOJCFAWI8VS8,1,52,0.6842105263157895
76,0,76,059400232X,A22FB2WSZSXSHH,1,53,0.6883116883116883
77,0,77,0594477670,A2IEJQ8754BMSI,0,53,0.6794871794871795
78,0,78,0594450209,AWA0CM7TY98QX,1,54,0.6835443037974683
79,0,79,0594033926,A3HQ8RXUMJ2Y58,1,55,0.6875
80,0,80,0970407998,A1GWA4DX7T4RWE,1,56,0.691358024691358
81,0,81,059400232X,AZQZ3STMCBG5H,1,57,0.6951219512195121
82,0,82,059400232X,A2WOJCFAWI8VS8,1,58,0.6987951807228916
83,0,83,0594450209,AWA0CM7TY98QX,1,59,0.7023809523809523
84,0,84,0594549507,A3EI9TX2A4MUSZ,0,59,0.6941176470588235
85,0,85,0594481902,AMP3SRCVG8VED,1,60,0.6976744186046512
86,0,86,0594450209,AWA0CM7TY98QX,1,61,0.7011494252873564
87,0,87,0594511488,A32JHAQPVSGHUD,1,62,0.7045454545454546
88,0,88,059400232X,A2WOJCFAWI8VS8,1,63,0.7078651685393258
89,0,89,059400232X,A22FB2WSZSXSHH,1,64,0.7111111111111111
90,0,90,0594450209,AWA0CM7TY98QX,1,65,0.7142857142857143
91,0,91,0594511488,A32JHAQPVSGHUD,1,66,0.717391304347826
92,0,92,059400232X,AZQZ3STMCBG5H,1,67,0.7204301075268817
93,0,93,0594450209,A244IAP7UBVHH6,1,68,0.723404255319149
94,0,94,059400232X,A22FB2WSZSXSHH,1,69,0.7263157894736842
95,0,95,0594481902,A107S4MT25VXQ5,1,70,0.7291666666666666
96,0,96,059400232X,A2WOJCFAWI8VS8,1,71,0.7319587628865979
97,0,97,059400232X,A22FB2WSZSXSHH,1,72,0.7346938775510204
98,0,98,0594481902,A2KK9GUTOXMB43,1,73,0.7373737373737373
99,0,99,0594450209,AWA0CM7TY98QX,1,74,0.74
100,0,100,0594033896,A3B12X05JZKM94,1,75,0.7425742574257426
101,0,101,059400232X,AZQZ3STMCBG5H,1,76,0.7450980392156863
102,0,102,0594450705,A3E7PG9CHDBICA,1,77,0.7475728155339806
103,0,103,059400232X,A2WOJCFAWI8VS8,1,78,0.75
104,0,104,059400232X,AZQZ3STMCBG5H,1,79,0.7523809523809524
105,0,105,0594033934,A1UMFN4RKU451R,1,80,0.7547169811320755
106,0,106,0594450209,A244IAP7UBVHH6,1,81,0.7570093457943925
107,0,107,0594033926,A2PL24SVISXZM9,1,82,0.7592592592592593
108,0,108,0321732944,A2CX7LUOHB2NDG,1,83,0.7614678899082569
109,0,109,0594202442,A1NQNJ3EAZ6CMZ,0,83,0.7545454545454545
110,0,110,059400232X,A22FB2WSZSXSHH,1,84,0.7567567567567568
111,0,111,059400232X,A2WOJCFAWI8VS8,1,85,0.7589285714285714
112,0,112,0594450209,AWA0CM7TY98QX,1,86,0.7610619469026548
113,0,113,0594511488,A29FNXHYVA2W4G,1,87,0.7631578947368421
114,0,114,0594511488,A29FNXHYVA2W4G,1,88,0.7652173913043478
115,0,115,0594511488,A29FNXHYVA2W4G,1,89,0.7672413793103449
116,0,116,0594017580,A3JSAGWSLY5044,0,89,0.7606837606837606
117,0,117,0594481902,A2KK9GUTOXMB43,1,90,0.7627118644067796
118,0,118,059400232X,A2WOJCFAWI8VS8,1,91,0.7647058823529411
119,0,119,0594450705,A3E7PG9CHDBICA,1,92,0.7666666666666667
