,iteration,visit,item_id,visitor_id,reward,total_reward,fraction_relevant
0,0,0,0972683275,A2RNG3LFW5CFKX,1,1,1.0
1,0,1,0594481902,A399VAWM09IRH9,1,2,1.0
2,0,2,0972683275,ARG1JEPRCUDQT,1,3,1.0
3,0,3,0972683275,A3M6S7Y1FNPOLD,0,3,0.75
4,0,4,0972683275,A2OGXHE7PVLTOE,0,3,0.6
5,0,5,0972683275,A1GSL1M8TPUSB2,1,4,0.6666666666666666
6,0,6,0594511488,A29FNXHYVA2W4G,1,5,0.7142857142857143
7,0,7,0899336795,A5OXSZ6JI3WW0,0,5,0.625
8,0,8,0528881469,A265MKAR2WEH3Y,0,5,0.5555555555555556
9,0,9,0594017343,A34O6MND17VDDH,0,5,0.5
10,0,10,0972683275,A18FTRFQQ141CP,1,6,0.5454545454545454
11,0,11,0972683275,AUKEU9CW56TT4,1,7,0.5833333333333334
12,0,12,0972683275,A3PRSCGIX3NY0X,1,8,0.6153846153846154
13,0,13,0321732944,A2CX7LUOHB2NDG,1,9,0.6428571428571429
14,0,14,0594033926,A1FXYTO11KEJ2P,0,9,0.6
15,0,15,0972683275,A1TDQTL9185HTU,1,10,0.625
16,0,16,0972683275,AYL6T95NTTYCT,0,10,0.5882352941176471
17,0,17,0594012015,A38T51B7J6QVD9,0,10,0.5555555555555556
18,0,18,0594481902,A2N3PEHL6QY8U8,1,11,0.5789473684210527
19,0,19,0594481813,A2SRW2W1GXYKQZ,1,12,0.6
20,0,20,0594481813,AY0BL2JD0GAFT,1,13,0.6190476190476191
21,0,21,0594296420,AH3LYMIBZ6DKF,1,14,0.6363636363636364
22,0,22,0321732944,A2CX7LUOHB2NDG,1,15,0.6521739130434783
23,0,23,0594481813,A1S6B5QFWGVL5U,0,15,0.625
24,0,24,0594296420,A3ZNVCQCG57AY,1,16,0.64
25,0,25,0594481902,A1IIGG5OMZKNYP,0,16,0.6153846153846154
26,0,26,0511189877,AZYNQZ94U6VDB,1,17,0.6296296296296297
27,0,27,0594451647,A262D8GC5XRU31,1,18,0.6428571428571429
28,0,28,089933623X,AJ4QIAKKHW21N,0,18,0.6206896551724138
29,0,29,0594451647,AAZ084UMH8VZ2,1,19,0.6333333333333333
30,0,30,0970408005,A737SIAIN3WIY,1,20,0.6451612903225806
31,0,31,0528881469,A2AOEW5UGXFOOQ,1,21,0.65625
32,0,32,0972683275,A1ZPEZMQBCTZQN,0,21,0.6363636363636364
33,0,33,0594481813,A2ATRYXF83T83K,1,22,0.6470588235294118
34,0,34,0594481813,A1G0KYO61NFVTF,1,23,0.6571428571428571
35,0,35,0511189877,A89DO69P0XZ27,1,24,0.6666666666666666
36,0,36,0594451647,A212UCG62RO8JF,1,25,0.6756756756756757
37,0,37,0777700018,A2E14J26DQZOAA,1,26,0.6842105263157895
