,iteration,visit,item_id,visitor_id,reward,total_reward,fraction_relevant
0,0,0,0528881469,A132P6YSJSI5G2,0,0,0.0
1,0,1,0594287995,A34TPQUVSQXXPX,1,1,0.5
2,0,2,0321732944,A2CX7LUOHB2NDG,1,2,0.6666666666666666
3,0,3,0594012015,A1HOSS7PNC1LMU,0,2,0.5
4,0,4,0594033926,A2CP4GY6XAWIII,1,3,0.6
5,0,5,0594033926,A2PL24SVISXZM9,1,4,0.6666666666666666
6,0,6,0594033926,A2MNKBHPMBB0EA,1,5,0.7142857142857143
7,0,7,0594296420,A2DUI0YVE1DZ48,1,6,0.75
8,0,8,0594033926,A2PL24SVISXZM9,1,7,0.7777777777777778
9,0,9,0594033926,A3HQ8RXUMJ2Y58,1,8,0.8
10,0,10,0594033926,A3HGTTFIDLCWDJ,0,8,0.7272727272727273
11,0,11,0594451647,A2JXAZZI9PHK9Z,1,9,0.75
12,0,12,0321732944,A2CX7LUOHB2NDG,1,10,0.7692307692307693
13,0,13,0594033934,A1UMFN4RKU451R,1,11,0.7857142857142857
14,0,14,0594296420,A2DUI0YVE1DZ48,1,12,0.8
15,0,15,0594451647,A150Y5KRN7FWJJ,1,13,0.8125
16,0,16,0558835155,A1NQPG5IJ43HJI,0,13,0.7647058823529411
17,0,17,0594296420,A2B4F6LP0ZLI8E,0,13,0.7222222222222222
18,0,18,0594451647,A150Y5KRN7FWJJ,1,14,0.7368421052631579
19,0,19,0594012015,A1HOSS7PNC1LMU,0,14,0.7
20,0,20,0321732944,A2CX7LUOHB2NDG,1,15,0.7142857142857143
21,0,21,0594477670,A18U7ZDE2VHD01,1,16,0.7272727272727273
22,0,22,0594451647,AEZ3CR6BKIROJ,0,16,0.6956521739130435
23,0,23,0594033926,AYM7NJTTX3M0L,1,17,0.7083333333333334
24,0,24,0132793040,AKM1MP6P0OYPR,1,18,0.72
25,0,25,0511189877,A2TY0BTJOTENPG,1,19,0.7307692307692307
26,0,26,059400232X,A22FB2WSZSXSHH,1,20,0.7407407407407407
27,0,27,0594296420,A3ZNVCQCG57AY,1,21,0.75
28,0,28,0321732944,A2CX7LUOHB2NDG,1,22,0.7586206896551724
29,0,29,0321732944,A2CX7LUOHB2NDG,1,23,0.7666666666666667
30,0,30,0511189877,A2TY0BTJOTENPG,1,24,0.7741935483870968
31,0,31,0594017580,A3JSAGWSLY5044,0,24,0.75
32,0,32,0511189877,A1QGNMC6O1VW39,1,25,0.7575757575757576
33,0,33,0594033926,A3HQ8RXUMJ2Y58,1,26,0.7647058823529411
34,0,34,0511189877,AZYNQZ94U6VDB,1,27,0.7714285714285715
35,0,35,0594033926,AHYURLVH267MA,1,28,0.7777777777777778
36,0,36,0594033926,A1FXYTO11KEJ2P,0,28,0.7567567567567568
37,0,37,0511189877,A2TY0BTJOTENPG,1,29,0.7631578947368421
38,0,38,0594033896,A3ILG56NE5QU37,1,30,0.7692307692307693
39,0,39,0511189877,AZYNQZ94U6VDB,1,31,0.775
40,0,40,059400232X,AZQZ3STMCBG5H,1,32,0.7804878048780488
41,0,41,0594033926,A2PL24SVISXZM9,1,33,0.7857142857142857
42,0,42,0594451647,A3M122DYN9L5N8,0,33,0.7674418604651163
43,0,43,0594033896,AKZOMZCNU41GZ,0,33,0.75
44,0,44,0511189877,A1QGNMC6O1VW39,1,34,0.7555555555555555
45,0,45,0594296420,A1HM74IXWXQ5D8,1,35,0.7608695652173914
46,0,46,0321732944,A2CX7LUOHB2NDG,1,36,0.7659574468085106
47,0,47,0511189877,A1QGNMC6O1VW39,1,37,0.7708333333333334
48,0,48,0511189877,A3J3BRHTDRFJ2G,0,37,0.7551020408163265
49,0,49,0528881469,AO94DHGC771SJ,1,38,0.76
50,0,50,0321732944,A2CX7LUOHB2NDG,1,39,0.7647058823529411
51,0,51,059400232X,A2WOJCFAWI8VS8,1,40,0.7692307692307693
52,0,52,0594033926,AHYURLVH267MA,1,41,0.7735849056603774
53,0,53,0511189877,A1QGNMC6O1VW39,1,42,0.7777777777777778
54,0,54,0594477670,A18U7ZDE2VHD01,1,43,0.7818181818181819
55,0,55,0594033926,A2MNKBHPMBB0EA,1,44,0.7857142857142857
56,0,56,059400232X,A22FB2WSZSXSHH,1,45,0.7894736842105263
57,0,57,0321732944,A2CX7LUOHB2NDG,1,46,0.7931034482758621
58,0,58,0594033926,A3HGTTFIDLCWDJ,0,46,0.7796610169491526
59,0,59,0511189877,A1QGNMC6O1VW39,1,47,0.7833333333333333
60,0,60,0594450209,A244IAP7UBVHH6,1,48,0.7868852459016393
61,0,61,0594477670,A18U7ZDE2VHD01,1,49,0.7903225806451613
62,0,62,0511189877,A34ATBPOK6HCHY,1,50,0.7936507936507936
63,0,63,0594451647,A212UCG62RO8JF,1,51,0.796875
64,0,64,0594450705,A3E7PG9CHDBICA,1,52,0.8
65,0,65,0594287995,A34TPQUVSQXXPX,1,53,0.803030303030303
66,0,66,059400232X,A2WOJCFAWI8VS8,1,54,0.8059701492537313
67,0,67,0594017343,A34O6MND17VDDH,0,54,0.7941176470588235
68,0,68,0511189877,A34ATBPOK6HCHY,1,55,0.7971014492753623
69,0,69,0511189877,A2TY0BTJOTENPG,1,56,0.8
70,0,70,0594450209,AWA0CM7TY98QX,1,57,0.8028169014084507
71,0,71,059400232X,A22FB2WSZSXSHH,1,58,0.8055555555555556
72,0,72,059400232X,AZQZ3STMCBG5H,1,59,0.8082191780821918
73,0,73,0511189877,A89DO69P0XZ27,1,60,0.8108108108108109
74,0,74,0594477670,A18U7ZDE2VHD01,1,61,0.8133333333333334
75,0,75,059400232X,AZQZ3STMCBG5H,1,62,0.8157894736842105
76,0,76,0511189877,A89DO69P0XZ27,1,63,0.8181818181818182
77,0,77,0594202442,A1NQNJ3EAZ6CMZ,0,63,0.8076923076923077
78,0,78,0594287995,A34TPQUVSQXXPX,1,64,0.810126582278481
79,0,79,0594450705,A3E7PG9CHDBICA,1,65,0.8125
80,0,80,0511189877,A1QGNMC6O1VW39,1,66,0.8148148148148148
81,0,81,0528881469,A3T6ZQONABIJSG,0,66,0.8048780487804879
82,0,82,0594033934,A3T3XKC7H5ACI1,1,67,0.8072289156626506
83,0,83,0321732944,A2CX7LUOHB2NDG,1,68,0.8095238095238095
84,0,84,0511189877,A89DO69P0XZ27,1,69,0.8117647058823529
85,0,85,059400232X,A22FB2WSZSXSHH,1,70,0.813953488372093
86,0,86,0594033934,A3T3XKC7H5ACI1,1,71,0.8160919540229885
87,0,87,059400232X,A2WOJCFAWI8VS8,1,72,0.8181818181818182
88,0,88,0511189877,AZYNQZ94U6VDB,1,73,0.8202247191011236
89,0,89,0321732944,A2CX7LUOHB2NDG,1,74,0.8222222222222222
90,0,90,0594033934,A1UMFN4RKU451R,1,75,0.8241758241758241
91,0,91,0594477670,A18U7ZDE2VHD01,1,76,0.8260869565217391
92,0,92,0439886341,A1GI0U4ZRJA8WN,0,76,0.8172043010752689
93,0,93,059400232X,A22FB2WSZSXSHH,1,77,0.8191489361702128
94,0,94,059400232X,AZQZ3STMCBG5H,1,78,0.8210526315789474
95,0,95,059400232X,AZQZ3STMCBG5H,1,79,0.8229166666666666
96,0,96,0594450209,A244IAP7UBVHH6,1,80,0.8247422680412371
97,0,97,0594450209,AWA0CM7TY98QX,1,81,0.826530612244898
98,0,98,059400232X,AZQZ3STMCBG5H,1,82,0.8282828282828283
99,0,99,059400232X,A2WOJCFAWI8VS8,1,83,0.83
100,0,100,0594287995,A34TPQUVSQXXPX,1,84,0.8316831683168316
101,0,101,0321732944,A2CX7LUOHB2NDG,1,85,0.8333333333333334
102,0,102,059400232X,A22FB2WSZSXSHH,1,86,0.8349514563106796
103,0,103,059400232X,AZQZ3STMCBG5H,1,87,0.8365384615384616
104,0,104,0594033934,A3T3XKC7H5ACI1,1,88,0.8380952380952381
105,0,105,0511189877,AZYNQZ94U6VDB,1,89,0.839622641509434
106,0,106,059400232X,A2WOJCFAWI8VS8,1,90,0.8411214953271028
107,0,107,0594477670,A18U7ZDE2VHD01,1,91,0.8425925925925926
108,0,108,0594033934,A1UMFN4RKU451R,1,92,0.8440366972477065
109,0,109,059400232X,A2WOJCFAWI8VS8,1,93,0.8454545454545455
110,0,110,0594477670,A18U7ZDE2VHD01,1,94,0.8468468468468469
111,0,111,0511189877,A89DO69P0XZ27,1,95,0.8482142857142857
112,0,112,0511189877,A1QGNMC6O1VW39,1,96,0.8495575221238938
113,0,113,0594450209,A244IAP7UBVHH6,1,97,0.8508771929824561
114,0,114,0511189877,A2TY0BTJOTENPG,1,98,0.8521739130434782
115,0,115,059400232X,AZQZ3STMCBG5H,1,99,0.853448275862069
116,0,116,0594033934,A1UMFN4RKU451R,1,100,0.8547008547008547
117,0,117,0594450209,A244IAP7UBVHH6,1,101,0.8559322033898306
118,0,118,0511189877,A1QGNMC6O1VW39,1,102,0.8571428571428571
119,0,119,0511189877,A1QGNMC6O1VW39,1,103,0.8583333333333333
120,0,120,0594033934,A1UMFN4RKU451R,1,104,0.859504132231405
121,0,121,0594287995,A34TPQUVSQXXPX,1,105,0.860655737704918
122,0,122,0321732944,A2CX7LUOHB2NDG,1,106,0.8617886178861789
123,0,123,059400232X,AZQZ3STMCBG5H,1,107,0.8629032258064516
124,0,124,0511189877,A1QGNMC6O1VW39,1,108,0.864
125,0,125,0511189877,AZYNQZ94U6VDB,1,109,0.8650793650793651
126,0,126,059400232X,A22FB2WSZSXSHH,1,110,0.8661417322834646
127,0,127,0594450209,AWA0CM7TY98QX,1,111,0.8671875
128,0,128,059400232X,A2WOJCFAWI8VS8,1,112,0.8682170542635659
129,0,129,059400232X,A22FB2WSZSXSHH,1,113,0.8692307692307693
130,0,130,0321732944,A2CX7LUOHB2NDG,1,114,0.8702290076335878
131,0,131,0594450209,AWA0CM7TY98QX,1,115,0.8712121212121212
132,0,132,059400232X,AZQZ3STMCBG5H,1,116,0.8721804511278195
133,0,133,059400232X,AZQZ3STMCBG5H,1,117,0.8731343283582089
134,0,134,059400232X,AZQZ3STMCBG5H,1,118,0.8740740740740741
135,0,135,0594033934,A3T3XKC7H5ACI1,1,119,0.875
136,0,136,0511189877,A3J3BRHTDRFJ2G,0,119,0.8686131386861314
137,0,137,059400232X,A2WOJCFAWI8VS8,1,120,0.8695652173913043
138,0,138,059400232X,A22FB2WSZSXSHH,1,121,0.8705035971223022
139,0,139,0321732944,A2CX7LUOHB2NDG,1,122,0.8714285714285714
140,0,140,059400232X,A2WOJCFAWI8VS8,1,123,0.8723404255319149
141,0,141,059400232X,A2WOJCFAWI8VS8,1,124,0.8732394366197183
142,0,142,0594033934,A3T3XKC7H5ACI1,1,125,0.8741258741258742
143,0,143,059400232X,AZQZ3STMCBG5H,1,126,0.875
144,0,144,059400232X,AZQZ3STMCBG5H,1,127,0.8758620689655172
145,0,145,059400232X,A22FB2WSZSXSHH,1,128,0.8767123287671232
146,0,146,059400232X,AZQZ3STMCBG5H,1,129,0.8775510204081632
147,0,147,0321732944,A2CX7LUOHB2NDG,1,130,0.8783783783783784
148,0,148,059400232X,AZQZ3STMCBG5H,1,131,0.8791946308724832
149,0,149,059400232X,AZQZ3STMCBG5H,1,132,0.88
150,0,150,0594033934,A3T3XKC7H5ACI1,1,133,0.8807947019867549
151,0,151,059400232X,AZQZ3STMCBG5H,1,134,0.881578947368421
152,0,152,059400232X,A2WOJCFAWI8VS8,1,135,0.8823529411764706
153,0,153,0594033934,A1UMFN4RKU451R,1,136,0.8831168831168831
154,0,154,0594450705,A3E7PG9CHDBICA,1,137,0.8838709677419355
155,0,155,0594477670,A18U7ZDE2VHD01,1,138,0.8846153846153846
156,0,156,0594450209,AWA0CM7TY98QX,1,139,0.8853503184713376
157,0,157,0321732944,A2CX7LUOHB2NDG,1,140,0.8860759493670886
158,0,158,059400232X,A22FB2WSZSXSHH,1,141,0.8867924528301887
159,0,159,0321732944,A2CX7LUOHB2NDG,1,142,0.8875
160,0,160,0594450209,AWA0CM7TY98QX,1,143,0.8881987577639752
161,0,161,059400232X,A22FB2WSZSXSHH,1,144,0.8888888888888888
162,0,162,059400232X,A2WOJCFAWI8VS8,1,145,0.8895705521472392
163,0,163,059400232X,AZQZ3STMCBG5H,1,146,0.8902439024390244
164,0,164,0594033934,A1UMFN4RKU451R,1,147,0.8909090909090909
165,0,165,059400232X,AZQZ3STMCBG5H,1,148,0.891566265060241
166,0,166,059400232X,A2WOJCFAWI8VS8,1,149,0.8922155688622755
167,0,167,059400232X,A22FB2WSZSXSHH,1,150,0.8928571428571429
168,0,168,0594287995,A34TPQUVSQXXPX,1,151,0.893491124260355
169,0,169,059400232X,AZQZ3STMCBG5H,1,152,0.8941176470588236
170,0,170,0594450209,A244IAP7UBVHH6,1,153,0.8947368421052632
171,0,171,059400232X,A2WOJCFAWI8VS8,1,154,0.8953488372093024
172,0,172,059400232X,A2WOJCFAWI8VS8,1,155,0.8959537572254336
173,0,173,059400232X,A2WOJCFAWI8VS8,1,156,0.896551724137931
174,0,174,059400232X,A22FB2WSZSXSHH,1,157,0.8971428571428571
175,0,175,059400232X,AZQZ3STMCBG5H,1,158,0.8977272727272727
176,0,176,059400232X,A22FB2WSZSXSHH,1,159,0.8983050847457628
